,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
233,Saba,Special municipality of the Netherlands.,The Bottom,,,"<img src=""ug-flag-saba.svg"" />",,"<img src=""ug-map-saba.png"" />",UG::Caribbean UG::North_America
234,Saint Kitts and Nevis,,Basseterre,,Sovereign country,"<img src=""ug-flag-saint_kitts_and_nevis.svg"" />",,"<img src=""ug-map-saint_kitts_and_nevis.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
235,Samoa,,Apia,,,"<img src=""ug-flag-samoa.svg"" />",,"<img src=""ug-map-samoa.png"" />",UG::Oceania UG::Sovereign_State
236,Somaliland,Independent state claimed by Somalia.,Hargeisa,,,"<img src=""ug-flag-somaliland.svg"" />",,"<img src=""ug-map-somaliland.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
237,South Sudan,,Juba,,,"<img src=""ug-flag-south_sudan.svg"" />",,"<img src=""ug-map-south_sudan.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
238,Tuvalu,,Funafuti,,,"<img src=""ug-flag-tuvalu.svg"" />",,"<img src=""ug-map-tuvalu.png"" />",UG::Oceania UG::Sovereign_State
239,United States Virgin Islands,Unincorporated territory of the United States.,Charlotte Amalie,,,"<img src=""ug-flag-united_states_virgin_islands.svg"" />",,"<img src=""ug-map-united_states_virgin_islands.png"" />",UG::Caribbean UG::North_America
240,Pitcairn Islands,Overseas territory of the United Kingdom.,Adamstown,,,"<img src=""ug-flag-pitcairn_islands.svg"" />",,"<img src=""ug-map-pitcairn_islands.png"" />",UG::Oceania
241,Åland Islands,Autonomous region of Finland.,Mariehamn,,,"<img src=""ug-flag-aland_islands.svg"" />",,"<img src=""ug-map-aland_islands.png"" />",UG::Europe
242,Cocos (Keeling) Islands,External territory of Australia.,West Island,,,"<img src=""ug-flag-cocos_islands.svg"" />",,"<img src=""ug-map-cocos_islands.png"" />",UG::Asia UG::Southeast_Asia
243,Saint Helena,"Part of Saint Helena, Ascension and Tristan da Cunha, an overseas territory of the United Kingdom.",Jamestown,,,"<img src=""ug-flag-saint_helena.png"" />",,"<img src=""ug-map-saint_helena.png"" />",UG::Africa UG::West_Africa
244,Sint Eustatius,Special municipality of the Netherlands.,Oranjestad,,Special municipality,"<img src=""ug-flag-sint_eustatius.svg"" />",,"<img src=""ug-map-sint_eustatius.png"" />",UG::Caribbean UG::North_America
